,Brand,Model,Variant,Manufacturing_Year,Driven_Kilometers,Fuel,Number_Of_Owners,Location,Price
4201,Hyundai,Verna,1.6 VTVT S (O) AT,2015,"42,000 Kms",Petrol,Second,Mumbai,5.25 Lakh
4202,Tata,Indica,Turbo DLG,2012,"65,000 Kms",Diesel,First,Kanpur,1.25 Lakh
4203,Maruti Suzuki,Swift DZire,VDI,2011,"70,999 Kms",Diesel,First,Mumbai,3.55 Lakh
4204,Maruti Suzuki,Swift DZire,VXI,2016,"66,000 Kms",Petrol,First,Mumbai,5.75 Lakh
4205,Maruti Suzuki,Swift,VDi,2014,"62,000 Kms",Diesel,Second,Kanpur,4.25 Lakh
4206,Toyota,Etios Liva,GD,2011,"54,244 Kms",Diesel,First,Mumbai,2.95 Lakh
4207,Toyota,Innova,2.4 ZX 7 STR [2016-2020],2016,"45,000 Kms",Diesel,First,Kolkata,14.99 Lakh
4208,Maruti Suzuki,Swift DZire,VXi,2010,"60,000 Kms",Petrol,First,Mumbai,2.91 Lakh
4209,Honda,City,1.5 V AT,2010,"85,928 Kms",Petrol,Third,Mumbai,3.45 Lakh
4210,Hyundai,Verna,Fluidic 1.6 CRDi SX,2013,"77,000 Kms",Diesel,First,Ahmedabad,5.5 Lakh
4211,Hyundai,Verna,SX Plus 1.6 CRDi AT,2018,"52,000 Kms",Diesel,First,Ahmedabad,10.75 Lakh
4212,Ford,Endeavour,Titanium Plus 3.2 4x4 AT,2019,"29,000 Kms",Diesel,First,Bangalore,35.5 Lakh
4213,Hyundai,Elite i20,Asta 1.2 [2016-2017],2016,"44,114 Kms",Petrol,First,Mumbai,5.85 Lakh
4214,Volkswagen,Vento,Highline Diesel AT [2015-2016],2016,"94,000 Kms",Diesel,First,Ahmedabad,7.75 Lakh
4215,Ford,Ecosport,Titanium 1.5 TDCi,2014,"74,000 Kms",Diesel,First,Mumbai,5.75 Lakh
4216,Ford,Endeavour,Titanium Plus 3.2 4x4 AT,2019,"29,000 Kms",Diesel,First,Bangalore,35.5 Lakh
4217,Hyundai,Elite i20,Asta 1.2 [2016-2017],2016,"44,114 Kms",Petrol,First,Mumbai,5.85 Lakh
4218,Volkswagen,Vento,Highline Diesel AT [2015-2016],2016,"94,000 Kms",Diesel,First,Ahmedabad,7.75 Lakh
4219,Ford,Ecosport,Titanium 1.5 TDCi,2014,"74,000 Kms",Diesel,First,Mumbai,5.75 Lakh
4220,Honda,Jazz,VX Petrol,2019,"33,000 Kms",Petrol,Second,Bangalore,6.75 Lakh
4221,Maruti Suzuki,Swift,ZXi AMT [2018-2019],2018,"34,000 Kms",Petrol,First,Bangalore,7.25 Lakh
4222,Maruti Suzuki,Baleno,Zeta 1.2 AT,2017,"46,000 Kms",Petrol,First,Ahmedabad,6.9 Lakh
4223,Toyota,Fortuner,2.5 Sportivo 4x2 MT,2013,"1,65,000 Kms",Diesel,First,Faridabad,11.25 Lakh
4224,Hyundai,i20,Sportz (AT) 1.4,2012,"47,309 Kms",Petrol,Second,Mumbai,4.15 Lakh
4225,Audi,Q7,45 TDI Technology Pack,2017,"22,000 Kms",Diesel,First,Ahmedabad,58 Lakh
4226,Honda,City,SV Diesel,2016,"72,000 Kms",Diesel,First,Ahmedabad,6.25 Lakh
4227,Tata,Zest,XM Petrol,2015,"51,000 Kms",Petrol,First,Delhi,3.7 Lakh
4228,Ford,Figo,Titanium1.5 TDCi,2017,"19,000 Kms",Diesel,First,Ahmedabad,5.9 Lakh
4229,Mahindra,XUV500,W7 [2018-2020],2018,"30,703 Kms",Diesel,First,Ahmedabad,11.9 Lakh
4230,Nissan,Micra,XV CVT [2016-2017],2013,"30,571 Kms",Petrol,Second,Bangalore,4.4 Lakh
4231,Mercedes-Benz,GLA,200 CDI Sport,2015,"33,000 Kms",Diesel,Third,Navi Mumbai,18.5 Lakh
4232,Renault,Duster,85 PS RxL,2015,"31,000 Kms",Diesel,First,Hyderabad,6.9 Lakh
4233,Hyundai,Creta,1.6 SX Plus AT,2016,"38,000 Kms",Diesel,First,Bangalore,12.5 Lakh
4234,Honda,Brio,S(O)MT,2011,"99,160 Kms",Petrol,First,Bangalore,3.35 Lakh
4235,Ford,Figo,Duratorq Diesel ZXI 1.4,2011,"92,676 Kms",Diesel,First,Bangalore,3.1 Lakh
4236,Hyundai,Xcent,SX AT 1.2 (O),2015,"10,000 Kms",Petrol,First,Mumbai,5.25 Lakh
4237,Audi,A8,3.0 TDI quattro,2013,"47,000 Kms",Diesel,First,Mumbai,29.5 Lakh
4238,Ford,Ecosport,Titanium 1.5L Ti-VCT,2016,"50,000 Kms",Petrol,First,Bangalore,7.5 Lakh
4239,Renault,Kwid,RXL [2015-2019],2016,"22,000 Kms",Petrol,First,Chennai,3.26 Lakh
4240,Hyundai,Xcent,SX AT 1.2 (O),2015,"10,000 Kms",Petrol,First,Mumbai,5.25 Lakh
4241,Audi,A8,3.0 TDI quattro,2013,"47,000 Kms",Diesel,First,Mumbai,29.5 Lakh
4242,Ford,Ecosport,Titanium 1.5L Ti-VCT,2016,"50,000 Kms",Petrol,First,Bangalore,7.5 Lakh
4243,Renault,Kwid,RXL [2015-2019],2016,"22,000 Kms",Petrol,First,Chennai,3.26 Lakh
4244,Volkswagen,Jetta,Highline TDI AT,2014,"90,000 Kms",Diesel,First,Coimbatore,8.25 Lakh
4245,Hyundai,Verna,1.6 VTVT SX,2018,"23,000 Kms",Petrol,First,Chennai,8.75 Lakh
4246,Toyota,Etios,GD,2016,"83,000 Kms",Diesel,First,Surat,4.25 Lakh
4247,Mahindra,Scorpio,VLX 4WD BS-IV,2013,"72,000 Kms",Diesel,First,Hyderabad,7.9 Lakh
4248,Hyundai,Verna,Fluidic 1.6 CRDi SX,2012,"84,000 Kms",Diesel,First,Hyderabad,5.6 Lakh
4249,Maruti Suzuki,Swift,VDi,2014,"70,000 Kms",Diesel,First,Hyderabad,5.4 Lakh
4250,Maruti Suzuki,XL6,Alpha AT Petrol,2020,"15,000 Kms",Petrol,First,Delhi,12.65 Lakh
4251,Hyundai,i20,Sportz 1.2 BS-IV,2012,"62,000 Kms",Petrol,First,Delhi,3 Lakh
4252,Maruti Suzuki,Eeco,7 STR [2014-2019],2013,"85,000 Kms",Petrol,First,Hyderabad,3.2 Lakh
4253,Maruti Suzuki,Swift DZire,VDI,2016,"76,840 Kms",Diesel,First,Pune,6.5 Lakh
4254,Hyundai,Creta,SX 1.6 (O) Petrol,2018,"27,000 Kms",Petrol,First,Mumbai,11.25 Lakh
4255,Maruti Suzuki,Swift DZire,VDI,2014,"82,000 Kms",Diesel,First,Hyderabad,6.1 Lakh
4256,Kia,Carnival,Premium 7 STR,2020,"9,000 Kms",Diesel,First,Chennai,25 Lakh
4257,Audi,A6,2.0 TDI Premium,2012,"55,000 Kms",Diesel,First,Kolkata,12.5 Lakh
4258,BMW,3-Series,320i Luxury Line,2016,"63,381 Kms",Petrol,First,Mumbai,22 Lakh
4259,Maruti Suzuki,Ertiga,VXI AT,2016,"54,000 Kms",Petrol,First,Mumbai,7.55 Lakh
4260,Hyundai,Verna,Fluidic 1.4 CRDi EX,2014,"69,121 Kms",Diesel,First,Mumbai,5.25 Lakh
4261,BMW,3-Series,320i Luxury Line,2016,"63,381 Kms",Petrol,First,Nashik,22 Lakh
4262,Hyundai,Creta,1.6 SX Plus AT Petrol,2019,"9,900 Kms",Petrol,First,Mumbai,15 Lakh
4263,Ford,Figo,Duratorq Diesel ZXI 1.4,2012,"62,121 Kms",Diesel,Second,Mumbai,2.05 Lakh
4264,Ford,Figo,Duratorq Diesel ZXI 1.4,2012,"62,121 Kms",Diesel,Second,Mumbai,2.05 Lakh
4265,Toyota,Innova,2.4 ZX 7 STR [2016-2020],2021,"11,000 Kms",Diesel,First,Delhi,27.51 Lakh
4266,BMW,3-Series,320i Luxury Line,2016,"63,381 Kms",Petrol,First,Mumbai,22 Lakh
4267,BMW,3-Series,320i Luxury Line,2016,"63,381 Kms",Petrol,First,Nashik,22 Lakh
