,Brand,Model,Variant,Manufacturing_Year,Driven_Kilometers,Fuel,Number_Of_Owners,Location,Price
0,Honda,City,V,2016,"46,948 Kms",Petrol,First,Chennai,7.45 Lakh
1,Toyota,Corolla Altis,1.8 J,2014,"72,497 Kms",Petrol,Second,Bangalore,8.25 Lakh
2,Honda,Brio,V MT,2015,"21,873 Kms",Petrol,First,Bangalore,4.89 Lakh
3,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT [2016-2017],2019,"17,916 Kms",Petrol,First,Kolkata,5 Lakh
4,Hyundai,Creta,1.6 S Petrol,2015,"27,598 Kms",Petrol,First,Bangalore,9.48 Lakh
5,Honda,CR-V,2.0L 2WD AT,2014,"66,245 Kms",Petrol,Second,Bangalore,12.99 Lakh
6,Renault,Duster,Adventure Edition 85 PS RxE 4X2 MT,2017,"16,536 Kms",Diesel,First,Bangalore,9.25 Lakh
7,Toyota,Innova,2.4 VX 8 STR [2016-2020],2018,"44,276 Kms",Diesel,First,Chennai,19.9 Lakh
8,Hyundai,i20 Active,1.2 S,2017,"21,957 Kms",Petrol,First,Kolkata,5.49 Lakh
9,Hyundai,Elite i20,Magna Plus 1.2 [2019-2020],2019,"11,720 Kms",Petrol,First,Kolkata,5.99 Lakh
10,Hyundai,Xcent,S 1.2,2018,"44,146 Kms",Petrol,First,Chennai,5.65 Lakh
11,Ford,Ecosport,Titanium 1.5L Ti-VCT AT,2016,"93,092 Kms",Petrol,Second,Chennai,5.9 Lakh
12,Maruti Suzuki,Eeco,5 STR WITH A/C+HTR [2019-2020],2017,"33,610 Kms",Petrol,Second,Chennai,3.9 Lakh
13,Maruti Suzuki,Baleno,Zeta 1.2 AT,2016,"39,358 Kms",Petrol,First,Kolkata,5.59 Lakh
14,Ford,Ecosport,Titanium + 1.5L Ti-VCT AT [2019-2020],2018,"19,916 Kms",Petrol,First,Chennai,8.9 Lakh
15,Hyundai,i10,Sportz 1.2 Kappa2,2014,"48,752 Kms",Petrol,First,Chennai,3.75 Lakh
16,Hyundai,Grand i10,Sports Edition 1.2L Kappa VTVT,2017,"35,855 Kms",Petrol,First,Bangalore,5.99 Lakh
17,Mahindra,XUV500,W11(O) [2018-2020],2019,"28,703 Kms",Diesel,First,Bangalore,18.25 Lakh
18,Ford,Ecosport,Titanium 1.5L TDCi,2017,"66,720 Kms",Diesel,First,Bangalore,8.45 Lakh
19,Kia,Seltos,GTX Plus 1.4 [2020-2021],2019,"2,368 Kms",Petrol,First,Bangalore,18.25 Lakh
20,Toyota,Fortuner,2.8 4x2 MT [2016-2020],2019,"22,700 Kms",Diesel,First,Bangalore,31.99 Lakh
21,Volkswagen,Polo,Highline Plus 1.0 (P) 16 Alloy,2018,"35,905 Kms",Petrol,First,Chennai,6.9 Lakh
22,Honda,Brio,S MT,2014,"49,910 Kms",Petrol,Second,Bangalore,4.25 Lakh
23,Volkswagen,Vento,Highline Plus 1.2 (P) AT 16 Alloy,2016,"45,298 Kms",Petrol,First,Mumbai,6.95 Lakh
24,Ford,Ecosport,Titanium 1.5L TDCi,2017,"66,720 Kms",Diesel,First,Bangalore,8.45 Lakh
25,Volkswagen,Polo,Highline Plus 1.0 (P) 16 Alloy,2018,"35,905 Kms",Petrol,First,Chennai,6.9 Lakh
26,Honda,Brio,S MT,2014,"49,910 Kms",Petrol,Second,Bangalore,4.25 Lakh
27,Nissan,Micra,XV Petrol,2013,"31,013 Kms",Petrol,First,Mumbai,2.99 Lakh
28,Volkswagen,Vento,Highline Plus 1.2 (P) AT 16 Alloy,2016,"45,298 Kms",Petrol,First,Mumbai,6.95 Lakh
29,Hyundai,Xcent,S AT 1.2 (O),2016,"41,248 Kms",Petrol,First,Mumbai,5.95 Lakh
30,Toyota,Corolla Altis,VL AT Petrol,2016,"97,670 Kms",Petrol,First,Mumbai,10.35 Lakh
31,Hyundai,Verna,1.6 VTVT SX,2018,"44,224 Kms",Petrol,First,Mumbai,9.11 Lakh
32,Hyundai,Creta,SX 1.6 (O) Petrol,2018,"36,964 Kms",Petrol,First,Bangalore,13.45 Lakh
33,Hyundai,Venue,SX 1.5 CRDi,2020,"3,527 Kms",Diesel,First,Bangalore,11.25 Lakh
34,Honda,Brio,S (O)MT,2018,"22,599 Kms",Petrol,First,Kolkata,4 Lakh
35,Maruti Suzuki,Alto 800,Vxi,2019,"28,765 Kms",Petrol,First,Kolkata,3.3 Lakh
36,Hyundai,Grand i10,Magna 1.2 Kappa VTVT [2017-2020],2017,"30,291 Kms",Petrol,First,Kolkata,4.4 Lakh
37,Renault,Kwid,CLIMBER 1.0 AMT [2017-2019],2018,"15,944 Kms",Petrol,First,Kolkata,4 Lakh
38,Hyundai,Grand i10,Era 1.2 Kappa VTVT [2016-2017],2018,"8,800 Kms",Petrol,First,Kolkata,4.1 Lakh
39,Mahindra,KUV100,K4 Plus 5 STR,2018,"33,846 Kms",Petrol,First,Kolkata,4 Lakh
40,Maruti Suzuki,Baleno,Sigma 1.2,2015,"55,501 Kms",Petrol,First,Kolkata,4.3 Lakh
41,Hyundai,Creta,SX Plus 1.6 Petrol,2018,"26,559 Kms",Petrol,First,Bangalore,12.95 Lakh
42,Hyundai,Creta,1.6 SX Plus AT Petrol,2018,"50,186 Kms",Petrol,First,Bangalore,13.45 Lakh
43,Hyundai,Creta,SX 1.6 (O) Executive Petrol,2019,"23,444 Kms",Petrol,First,Kolkata,12 Lakh
44,Toyota,Innova,2.4 VX 7 STR [2016-2020],2019,"14,113 Kms",Diesel,First,Bangalore,22.95 Lakh
45,Maruti Suzuki,Wagon R,VXI,2015,"68,206 Kms",Petrol,First,Bangalore,4.49 Lakh
46,Maruti Suzuki,Baleno,Zeta 1.3,2018,"64,331 Kms",Diesel,Second,Bangalore,8.4 Lakh
47,Toyota,Corolla Altis,JS Petrol,2013,"44,802 Kms",Petrol,First,Bangalore,7.25 Lakh
48,Toyota,Innova,2.4 VX 7 STR [2016-2020],2019,"14,113 Kms",Diesel,First,Bangalore,22.95 Lakh
49,Maruti Suzuki,Wagon R,VXI,2015,"68,206 Kms",Petrol,First,Bangalore,4.49 Lakh
50,Maruti Suzuki,Baleno,Zeta 1.3,2018,"64,331 Kms",Diesel,Second,Bangalore,8.4 Lakh
51,Toyota,Corolla Altis,JS Petrol,2013,"44,802 Kms",Petrol,First,Bangalore,7.25 Lakh
52,Hyundai,Grand i10,Sports Edition 1.2L Kappa VTVT,2018,"20,398 Kms",Petrol,First,Bangalore,5.78 Lakh
53,Honda,City,V,2018,"87,284 Kms",Petrol,First,Bangalore,8.55 Lakh
54,Honda,City,V,2018,"40,532 Kms",Petrol,First,Bangalore,9.45 Lakh
55,Maruti Suzuki,Vitara Brezza,VDi (O) [2016-2018],2017,"74,856 Kms",Diesel,First,Bangalore,8.75 Lakh
56,Honda,City,V,2019,"8,198 Kms",Petrol,Second,Bangalore,10.95 Lakh
57,Mahindra,XUV500,W11(O) [2018-2020],2018,"46,087 Kms",Diesel,First,Bangalore,17.99 Lakh
58,Ford,Ecosport,Titanium 1.5L TDCi,2017,"66,696 Kms",Diesel,First,Bangalore,8.45 Lakh
59,Skoda,Rapid,1.6 MPI Elegance Plus AT,2015,"66,390 Kms",Petrol,First,Bangalore,7.45 Lakh
60,Kia,Seltos,GTX Plus 1.4 [2020-2021],2019,"2,323 Kms",Petrol,First,Bangalore,18.25 Lakh
61,Ford,Ecosport,Platinum Edition Diesel,2017,"44,000 Kms",Diesel,First,Jalandhar,6.8 Lakh
62,Maruti Suzuki,Swift DZire,VDI,2015,"62,000 Kms",Diesel,First,Jalandhar,5.5 Lakh
63,Maruti Suzuki,Alto,LXi BS-III,2011,"55,016 Kms",Petrol,First,Jalandhar,2.15 Lakh
64,Honda,Brio,S MT,2012,"37,000 Kms",Petrol,First,Nashik,3.25 Lakh
65,Renault,Fluence,1.5 E2,2013,"47,000 Kms",Diesel,First,Nashik,4.75 Lakh
66,Hyundai,i20,Sportz 1.2,2013,"89,000 Kms",Petrol,First,Nashik,4.55 Lakh
67,Hyundai,Grand i10,Era 1.2 Kappa VTVT [2016-2017],2015,"68,000 Kms",Petrol,First,Nashik,4.31 Lakh
68,Renault,Kwid,1.0 RXL AMT [2017-2019],2017,"75,000 Kms",Petrol,First,Nashik,3.75 Lakh
69,Maruti Suzuki,Swift DZire,VDI,2011,"67,000 Kms",Diesel,First,Jalandhar,3.5 Lakh
70,Mahindra,Scorpio,S6 Plus,2016,"71,000 Kms",Diesel,First,Jalandhar,11.3 Lakh
71,Maruti Suzuki,Wagon R,LXi,2013,"50,000 Kms",Petrol,First,Jalandhar,3.15 Lakh
72,Renault,Fluence,1.5 E2,2013,"47,000 Kms",Diesel,First,Nashik,4.75 Lakh
73,Maruti Suzuki,Swift DZire,VDI,2011,"67,000 Kms",Diesel,First,Jalandhar,3.5 Lakh
74,Mahindra,Scorpio,S6 Plus,2016,"71,000 Kms",Diesel,First,Jalandhar,11.3 Lakh
75,Maruti Suzuki,Wagon R,LXi,2013,"50,000 Kms",Petrol,First,Jalandhar,3.15 Lakh
76,Maruti Suzuki,Ertiga,ZDi,2013,"62,000 Kms",Diesel,First,Jalandhar,5 Lakh
77,Honda,City,1.5 S MT,2012,"80,000 Kms",Petrol,First,Gurgaon,3.75 Lakh
78,Skoda,Octavia,1.8 TSI Ambition Plus AT,2016,"65,000 Kms",Petrol,First,Gurgaon,11.5 Lakh
79,Maruti Suzuki,Swift,VDi,2012,"72,000 Kms",Diesel,First,Gurgaon,2.98 Lakh
80,Honda,Jazz,SV Diesel,2015,"78,000 Kms",Diesel,First,Gurgaon,4.7 Lakh
81,Maruti Suzuki,SX4,VDi,2014,"63,000 Kms",Diesel,First,Gurgaon,2.8 Lakh
82,Hyundai,i20,Magna (O) 1.4 CRDI,2014,"69,000 Kms",Diesel,First,Gurgaon,3.5 Lakh
83,Hyundai,Verna,Fluidic 1.6 CRDi SX Opt AT,2011,"66,556 Kms",Diesel,First,Thane,4.95 Lakh
84,Hyundai,Grand i10,Sports Edition 1.2L Kappa VTVT,2017,"54,803 Kms",Petrol,First,Thane,5.21 Lakh
85,Renault,Duster,110 PS RxL Diesel,2014,"77,082 Kms",Diesel,First,Thane,5.45 Lakh
86,Skoda,Rapid,Elegance 1.6 MPI AT,2013,"50,131 Kms",Petrol,Second,Thane,4.25 Lakh
87,Volkswagen,Polo,GT TSI,2014,"43,715 Kms",Petrol,First,Thane,5.95 Lakh
88,Mahindra,XUV500,W10 AT,2017,"39,700 Kms",Diesel,First,Thane,15.45 Lakh
89,Maruti Suzuki,Baleno,Zeta 1.2,2016,"48,968 Kms",Petrol,First,Thane,6.21 Lakh
90,Maruti Suzuki,S-Cross,Delta 1.3,2015,"52,826 Kms",Diesel,First,Thane,6.95 Lakh
91,Maruti Suzuki,Baleno,Zeta 1.2 AT,2016,"22,272 Kms",Petrol,First,Thane,7.25 Lakh
92,Hyundai,Creta,1.6 SX Plus AT,2016,"56,839 Kms",Diesel,First,Thane,11.45 Lakh
93,Toyota,Etios Liva,GD,2015,"52,899 Kms",Diesel,First,Jalandhar,5.15 Lakh
94,Maruti Suzuki,Swift DZire,VDI,2015,"55,000 Kms",Diesel,First,Jalandhar,5.4 Lakh
95,Toyota,Innova,2.5 G4 7 STR,2012,"70,000 Kms",Diesel,First,Jalandhar,6.8 Lakh
96,Hyundai,Creta,1.6 SX Plus AT,2016,"56,839 Kms",Diesel,First,Thane,11.45 Lakh
97,Toyota,Etios Liva,GD,2015,"52,899 Kms",Diesel,First,Jalandhar,5.15 Lakh
98,Maruti Suzuki,Swift DZire,VDI,2015,"55,000 Kms",Diesel,First,Jalandhar,5.4 Lakh
99,Toyota,Innova,2.5 G4 7 STR,2012,"70,000 Kms",Diesel,First,Jalandhar,6.8 Lakh
100,Maruti Suzuki,SX4,VDI,2011,"70,000 Kms",Diesel,First,Jalandhar,3.15 Lakh
101,Ford,Ecosport,Titanium 1.5 TDCi,2013,"72,000 Kms",Diesel,Second,Surat,4.74 Lakh
102,Ford,Aspire,Titanium 1.5 TDCi Sports Edition,2018,"42,300 Kms",Diesel,First,Surat,5.25 Lakh
103,Maruti Suzuki,Ritz,Vdi (ABS) BS-IV,2010,"79,000 Kms",Diesel,First,Surat,2.51 Lakh
104,Renault,Kwid,RXL [2015-2019],2021,"2,190 Kms",Petrol,First,Surat,4.21 Lakh
105,Maruti Suzuki,Swift,ZXi,2012,"72,000 Kms",Petrol,Second,Surat,3.91 Lakh
106,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT Dual Tone,2018,"26,000 Kms",Petrol,First,Surat,5.51 Lakh
107,Maruti Suzuki,Wagon R,VXi,2014,"60,200 Kms",Petrol,First,Surat,3.75 Lakh
108,Honda,Jazz,V Diesel,2016,"82,000 Kms",Diesel,First,Surat,5.75 Lakh
109,Mahindra,Scorpio,LX BS-III,2011,"70,000 Kms",Diesel,First,Surat,4.51 Lakh
110,Ford,Ecosport,Titanium 1.5 TDCi,2015,"58,000 Kms",Diesel,First,Surat,5.45 Lakh
111,Fiat,Linea,Emotion Multijet 1.3,2017,"99,000 Kms",Diesel,UnRegistered Car,Surat,5 Lakh
112,Chevrolet,Enjoy,1.4 LT 7 STR,2014,"70,000 Kms",Petrol,First,Surat,3.75 Lakh
113,Ford,Ecosport,Titanium 1.5L TDCi,2018,"52,000 Kms",Diesel,First,Surat,8.51 Lakh
114,Hyundai,Verna,Fluidic 1.6 CRDi SX Opt,2012,"42,000 Kms",Diesel,First,Surat,4.75 Lakh
115,Hyundai,Creta,E Plus 1.4 CRDI,2019,"68,000 Kms",Diesel,First,Surat,10.41 Lakh
116,Maruti Suzuki,Baleno,Delta 1.2,2018,"35,000 Kms",Petrol,First,Surat,6.5 Lakh
117,MG,Hector,Sharp 1.5 DCT Petrol [2019-2020],2019,"11,700 Kms",Petrol,First,Surat,17.51 Lakh
118,Toyota,Yaris,VX MT [2018-2020],2018,"41,418 Kms",Petrol,First,Surat,9.75 Lakh
119,Mercedes-Benz,E-Class,E 220 d Avantgarde,2017,"19,020 Kms",Diesel,First,Mumbai,44.5 Lakh
120,Maruti Suzuki,Baleno,Delta 1.2,2018,"35,000 Kms",Petrol,First,Surat,6.5 Lakh
121,MG,Hector,Sharp 1.5 DCT Petrol [2019-2020],2019,"11,700 Kms",Petrol,First,Surat,17.51 Lakh
122,Toyota,Yaris,VX MT [2018-2020],2018,"41,418 Kms",Petrol,First,Surat,9.75 Lakh
123,Mercedes-Benz,E-Class,E 220 d Avantgarde,2017,"19,020 Kms",Diesel,First,Mumbai,44.5 Lakh
124,Maruti Suzuki,DZire,VDi,2018,"52,000 Kms",Diesel,First,Akola,7.5 Lakh
125,Renault,Lodgy,85 PS RXL [2015-2016],2015,"74,000 Kms",Diesel,First,Akola,5.5 Lakh
126,Hyundai,Grand i10,Magna 1.2 Kappa VTVT [2013-2016],2015,"51,770 Kms",Petrol,First,Bhopal,4.21 Lakh
127,Renault,Kwid,RXT [2015-2019],2017,"60,789 Kms",Petrol,First,Bhopal,3.7 Lakh
128,Maruti Suzuki,Ritz,Zxi BS-IV,2011,"72,000 Kms",Petrol,Second,Akola,2.75 Lakh
129,Hyundai,Eon,Magna [2011-2012],2016,"44,923 Kms",Petrol,First,Bhopal,3.2 Lakh
130,Maruti Suzuki,Alto 800,Lxi,2014,"71,262 Kms",Petrol,First,Bhopal,2.65 Lakh
131,Maruti Suzuki,Alto 800,Lxi,2017,"38,100 Kms",Petrol,First,Bhopal,3.3 Lakh
132,Maruti Suzuki,Alto,LX BS-IV,2012,"58,200 Kms",Petrol,Second,Bhopal,2.3 Lakh
133,Maruti Suzuki,Wagon R,LXi,2011,"70,483 Kms",Petrol,First,Bhopal,2.6 Lakh
134,Hyundai,Grand i10,Magna 1.2 Kappa VTVT [2017-2020],2016,"82,000 Kms",Petrol,Second,Akola,3.85 Lakh
135,Maruti Suzuki,Ertiga,VDI SHVS,2017,"54,000 Kms",Diesel,First,Kanpur,7.5 Lakh
136,Maruti Suzuki,Wagon R,LXi CNG Avance LE,2013,"47,000 Kms",CNG,First,Kanpur,2.9 Lakh
137,Hyundai,Eon,Era +,2014,"59,000 Kms",Petrol,First,Kanpur,2.25 Lakh
138,Hyundai,Grand i10,Magna AT 1.2 Kappa VTVT,2019,"9,400 Kms",Petrol,First,Kanpur,5.65 Lakh
139,Mercedes-Benz,C-Class,200 CGI Avantgarde,2011,"66,700 Kms",Petrol,First,Mumbai,12.58 Lakh
140,Mercedes-Benz,E-Class,E 220d Expression [2019-2019],2017,"25,000 Kms",Diesel,First,Mumbai,41.95 Lakh
141,Honda,City,V,2016,"43,000 Kms",Petrol,First,Chennai,7.45 Lakh
142,Mahindra,Marazzo,M8 8 STR,2020,"23,000 Kms",Diesel,First,Chennai,14.25 Lakh
143,Mahindra,Xylo,E8 ABS BS-IV,2011,"75,000 Kms",Diesel,First,Chennai,5.75 Lakh
144,Hyundai,Grand i10,Magna 1.2 Kappa VTVT [2017-2020],2016,"82,000 Kms",Petrol,Second,Akola,3.85 Lakh
145,Honda,City,V,2016,"43,000 Kms",Petrol,First,Chennai,7.45 Lakh
146,Honda,WR-V,S MT Petrol,2017,"43,000 Kms",Petrol,First,Chennai,7.25 Lakh
147,Maruti Suzuki,A-Star,Vxi,2008,"75,000 Kms",Petrol,First,Chennai,2.35 Lakh
148,Hyundai,Creta,SX Plus 1.6 Petrol,2016,"75,000 Kms",Petrol,First,Chennai,9.25 Lakh
149,Mahindra,Marazzo,M8 8 STR,2020,"23,000 Kms",Diesel,First,Chennai,14.25 Lakh
150,Mahindra,Xylo,E8 ABS BS-IV,2011,"75,000 Kms",Diesel,First,Chennai,5.75 Lakh
151,Maruti Suzuki,S-Cross,Sigma 1.3,2019,"19,000 Kms",Diesel,First,Chennai,8.75 Lakh
152,Toyota,Innova,2.4 VX 8 STR [2016-2020],2017,"1,36,000 Kms",Diesel,First,Chennai,17.9 Lakh
153,Hyundai,Creta,SX 1.6 AT Petrol,2018,"33,000 Kms",Petrol,First,Chennai,12.5 Lakh
154,Volkswagen,Vento,Highline Diesel,2012,"52,000 Kms",Diesel,First,Chennai,5 Lakh
155,Maruti Suzuki,Ertiga,VDI SHVS,2017,"90,000 Kms",Diesel,First,Chennai,8.9 Lakh
156,Maruti Suzuki,Ertiga,ZDI + SHVS,2018,"20,000 Kms",Diesel,First,Chennai,10.5 Lakh
157,Toyota,Fortuner,3.0 4x2 AT,2016,"1,55,000 Kms",Diesel,First,Chennai,19.5 Lakh
158,Mahindra,Scorpio,VLX 2WD BS-IV,2011,"1,15,000 Kms",Diesel,First,Chennai,6.5 Lakh
159,Hyundai,Verna,1.6 VTVT SX,2016,"21,000 Kms",Petrol,First,Chennai,8.25 Lakh
160,Nissan,Micra,XL CVT,2018,"21,000 Kms",Petrol,First,Chennai,5.7 Lakh
161,Toyota,Innova,2.5 V 7 STR,2010,"1,58,000 Kms",Diesel,Second,Chennai,7.5 Lakh
162,Hyundai,Elite i20,Asta 1.2 (O) [2016-2017],2017,"35,000 Kms",Petrol,First,Chennai,6.9 Lakh
163,Honda,City,1.5 V MT,2012,"92,000 Kms",Petrol,First,Chennai,5.2 Lakh
164,Hyundai,i10,Era 1.1 iRDE2 [2010-2017],2012,"92,000 Kms",Petrol,First,Chennai,2.8 Lakh
165,Hyundai,Santro,XO eRLX - Euro III,2007,"70,000 Kms",Petrol,First,Chennai,1.7 Lakh
166,Hyundai,i10,Sportz 1.2,2008,"52,000 Kms",Petrol,First,Chennai,2.4 Lakh
167,Honda,Amaze,1.5 SX i-DTEC,2016,"27,000 Kms",Diesel,First,Chennai,6.5 Lakh
168,Toyota,Innova,2.5 V 7 STR,2010,"1,58,000 Kms",Diesel,Second,Chennai,7.5 Lakh
169,Hyundai,Elite i20,Asta 1.2 (O) [2016-2017],2017,"35,000 Kms",Petrol,First,Chennai,6.9 Lakh
170,Honda,City,1.5 V MT,2012,"92,000 Kms",Petrol,First,Chennai,5.2 Lakh
171,Hyundai,i10,Era 1.1 iRDE2 [2010-2017],2012,"92,000 Kms",Petrol,First,Chennai,2.8 Lakh
172,Hyundai,Santro,XO eRLX - Euro III,2007,"70,000 Kms",Petrol,First,Chennai,1.7 Lakh
173,Hyundai,i10,Sportz 1.2,2008,"52,000 Kms",Petrol,First,Chennai,2.4 Lakh
174,Honda,WR-V,S MT Petrol,2017,"39,000 Kms",Petrol,First,Chennai,7.25 Lakh
175,Volkswagen,Polo,Comfortline 1.2L (P),2016,"65,000 Kms",Petrol,First,Chennai,5.45 Lakh
176,Maruti Suzuki,Alto,VXi,2011,"38,000 Kms",Petrol,First,Chennai,2.55 Lakh
177,MG,Gloster,Sharp 6 STR 2.0 Twin Turbo 4WD,2021,"8,000 Kms",Diesel,First,Chennai,40 Lakh
178,Hyundai,Verna,Fluidic 1.6 CRDi SX,2014,"69,000 Kms",Diesel,First,Delhi,5.15 Lakh
179,Mahindra,Scorpio,S6 Plus,2016,"25,000 Kms",Diesel,First,Delhi,9.9 Lakh
180,BMW,5-Series,520d Luxury Line,2013,"89,000 Kms",Diesel,Second,Ahmedabad,17.9 Lakh
181,Maruti Suzuki,S-Cross,Alpha 1.3,2015,"55,000 Kms",Diesel,First,Ahmedabad,6.9 Lakh
182,Tata,Hexa,XM 4x2 7 STR,2017,"48,700 Kms",Diesel,First,Ahmedabad,9.75 Lakh
183,Honda,Brio,V MT,2015,"21,873 Kms",Petrol,First,Bangalore,4.89 Lakh
184,Hyundai,Santro,Asta [2018-2020],2018,"18,000 Kms",Petrol,First,Delhi,4.9 Lakh
185,Maruti Suzuki,Alto 800,LXi (O),2017,"20,000 Kms",Petrol,First,Delhi,2.9 Lakh
186,Mercedes-Benz,M-Class,ML 250 CDI,2013,"80,200 Kms",Diesel,First,Delhi,21.9 Lakh
187,Mahindra,Scorpio,S4 Plus,2016,"54,179 Kms",Diesel,First,Delhi,8.1 Lakh
188,Toyota,Innova,2.4 VX 7 STR [2016-2020],2018,"37,945 Kms",Diesel,First,Bangalore,22.65 Lakh
189,Volkswagen,Vento,Highline Plus 1.5 (D) 16 Alloy,2018,"42,796 Kms",Diesel,First,Bangalore,9.45 Lakh
190,Hyundai,Grand i10,Asta AT 1.2 Kappa VTVT (O) [2016-2017],2016,"37,378 Kms",Petrol,First,Bangalore,6.25 Lakh
191,Hyundai,Grand i10,Sports Edition 1.2L Kappa VTVT,2020,"12,000 Kms",Petrol,First,Delhi,5.9 Lakh
192,Hyundai,Santro,Asta [2018-2020],2018,"18,000 Kms",Petrol,First,Delhi,4.9 Lakh
193,Maruti Suzuki,Baleno,Delta 1.2,2020,"8,500 Kms",Petrol,First,Delhi,6.9 Lakh
194,Hyundai,Grand i10,Sports Edition 1.2L Kappa VTVT,2020,"12,000 Kms",Petrol,First,Delhi,5.9 Lakh
195,Mercedes-Benz,M-Class,ML 250 CDI,2013,"80,200 Kms",Diesel,First,Delhi,21.9 Lakh
196,Mahindra,Scorpio,S4 Plus,2016,"54,179 Kms",Diesel,First,Delhi,8.1 Lakh
197,Hyundai,Grand i10,Asta AT 1.2 Kappa VTVT (O) [2016-2017],2016,"37,378 Kms",Petrol,First,Bangalore,6.25 Lakh
198,Tata,Hexa,XM 4x2 7 STR,2017,"48,700 Kms",Diesel,First,Ahmedabad,9.75 Lakh
199,Renault,Kwid,1.0 RXT [2016-2019],2018,"26,000 Kms",Petrol,First,Ahmedabad,3.4 Lakh
200,BMW,5-Series,520d Luxury Line,2013,"89,000 Kms",Diesel,Second,Ahmedabad,17.9 Lakh
201,Maruti Suzuki,S-Cross,Alpha 1.3,2015,"55,000 Kms",Diesel,First,Ahmedabad,6.9 Lakh
202,Audi,A3,35 TDI Premium + Sunroof,2015,"56,921 Kms",Diesel,First,Hyderabad,17.25 Lakh
203,Mahindra,XUV500,W4 1.99,2017,"65,000 Kms",Diesel,First,Delhi,8.75 Lakh
204,Volkswagen,Vento,TSI,2013,"69,000 Kms",Petrol,First,Delhi,4.4 Lakh
205,Toyota,Camry,2.5 G,2013,"29,000 Kms",Petrol,First,Mumbai,13.75 Lakh
206,Maruti Suzuki,Ciaz,ZDi+ SHVS,2017,"32,000 Kms",Diesel,First,Mumbai,7.95 Lakh
207,Hyundai,Creta,SX 1.6 CRDI,2017,"68,731 Kms",Diesel,First,Bangalore,11.85 Lakh
208,Volkswagen,Polo,Trendline 1.2L (D),2013,"65,000 Kms",Diesel,First,Ahmedabad,3.25 Lakh
209,Volkswagen,Ameo,Highline Plus 1.5L AT (D)16 Alloy,2017,"87,000 Kms",Diesel,First,Ahmedabad,6.25 Lakh
210,Maruti Suzuki,Ciaz,Alpha 1.3 Diesel,2019,"28,850 Kms",Diesel,First,Ahmedabad,9.5 Lakh
211,Maruti Suzuki,Ciaz,Alpha 1.4 MT,2018,"51,000 Kms",Petrol,First,Ahmedabad,8.5 Lakh
212,Maruti Suzuki,Vitara Brezza,VDi (O) [2016-2018],2018,"62,800 Kms",Diesel,First,Delhi,7.4 Lakh
213,Maruti Suzuki,Wagon R,VXI,2017,"77,000 Kms",Petrol,First,Delhi,3.75 Lakh
214,Mercedes-Benz,E-Class,E 250 CDI Avantgarde,2015,"70,000 Kms",Diesel,First,Delhi,19.95 Lakh
215,Hyundai,Creta,1.6 SX Plus Petrol,2019,"9,600 Kms",Petrol,First,Delhi,14.5 Lakh
216,Maruti Suzuki,Vitara Brezza,VDi (O) [2016-2018],2018,"62,800 Kms",Diesel,First,Delhi,7.4 Lakh
217,Maruti Suzuki,Wagon R,VXI,2017,"77,000 Kms",Petrol,First,Delhi,3.75 Lakh
218,Mercedes-Benz,E-Class,E 250 CDI Avantgarde,2015,"70,000 Kms",Diesel,First,Delhi,19.95 Lakh
219,Hyundai,Creta,1.6 SX Plus Petrol,2019,"9,600 Kms",Petrol,First,Delhi,14.5 Lakh
220,Renault,Kwid,1.0 RXT [2016-2019],2017,"28,083 Kms",Petrol,First,Hyderabad,3.7 Lakh
221,Maruti Suzuki,Swift DZire,VXi,2008,"64,000 Kms",Petrol,Second,Pune,2.5 Lakh
222,Jeep,Compass,Limited Plus Petrol AT [2018-2020],2019,"21,029 Kms",Petrol,First,Pune,18.95 Lakh
223,Mahindra,XUV500,W8 [2015-2017],2016,"49,733 Kms",Diesel,First,Pune,10.95 Lakh
224,Jaguar,XF,2.2 Diesel Luxury,2014,"71,000 Kms",Diesel,First,Hyderabad,21.45 Lakh
225,Mahindra,XUV500,W10,2018,"88,419 Kms",Diesel,First,Hyderabad,15.35 Lakh
226,Maruti Suzuki,Swift DZire,VDI,2012,"65,000 Kms",Diesel,First,Ghaziabad,3.3 Lakh
227,Hyundai,i10,Sportz 1.2 Kappa2,2014,"19,673 Kms",Petrol,First,Hyderabad,4.25 Lakh
228,Ford,Ecosport,Titanium 1.5 TDCi (Opt),2013,"1,04,041 Kms",Diesel,First,Hyderabad,5.85 Lakh
229,Hyundai,i10,Sportz 1.2,2008,"62,273 Kms",Petrol,First,Hyderabad,2.55 Lakh
230,Maruti Suzuki,Alto,LXi,2012,"70,473 Kms",Petrol,First,Hyderabad,2.5 Lakh
231,Maruti Suzuki,Swift DZire,ZXI,2015,"47,982 Kms",Petrol,First,Mumbai,5.25 Lakh
232,Honda,City,V Diesel,2016,"69,381 Kms",Diesel,Second,Mumbai,6.85 Lakh
233,Honda,Jazz,S AT [2015-2016],2016,"7,500 Kms",Petrol,First,Mumbai,6.35 Lakh
234,MG,Hector,Sharp 2.0 Diesel [2019-2020],2020,"20,000 Kms",Diesel,First,Aurangabad,20 Lakh
235,Maruti Suzuki,Baleno,Alpha 1.2 AT,2017,"61,248 Kms",Petrol,First,Ghaziabad,6.25 Lakh
